ID,Review Date,Category,Title,IMDB Rating,RT Critics Rating,Moistmeter Rating,Genre
1,3/26/2017,Video Games,Mass Effect Andromeda,,,55,N/A
2,4/3/2017,Movies,Ghost in the Shell,6.3,42,70,"Action, Crime, Drama"
3,4/9/2017,Video Games,Persona 5,,,85,"Animation, Action, Adventure"
4,4/15/2017,Video Games,Drawn to Death,,,45,N/A
5,4/17/2017,Video Games,Yooka-Laylee,,,40,N/A
6,4/25/2017,Video Games,Syberia 3,,,50,N/A
7,4/29/2017,Video Games,Outlast 2,,,80,N/A
8,4/30/2017,Movies,Unforgettable,6.8,,,"Crime, Drama, Mystery"
9,5/2/2017,Video Games,Little Nightmares,,,80,Animation
10,5/20/2017,Video Games,The Surge,,,75,Adult
11,5/21/2017,Movies,Alien Covenant,6.4,65,60,"Horror, Sci-Fi, Thriller"
12,6/3/2017,Movies,Wonder Woman,7.3,93,80,"Action, Adventure, Fantasy"
13,6/10/2017,Movies,The Mummy 2017,5.4,15,50,"Action, Adventure, Fantasy"
14,6/28/2017,Movies,Transformers 5,5.2,16,25,"Documentary, Short"
15,7/4/2017,Movies,Baby Driver,7.5,92,88,"Action, Crime, Drama"
16,7/11/2017,Movies,Spider-Man Homecoming,7.4,92,75,"Action, Adventure, Sci-Fi"
17,7/17/2017,Movies,War for the Planet of the Apes,7.4,94,70,"Action, Adventure, Drama"
18,7/20/2017,Movies,Wish Upon,5.1,20,10,"Drama, Fantasy, Horror"
19,7/24/2017,Movies,Valerian,6.4,47,35,Short
20,7/31/2017,Movies,The Emoji Movie,3.4,6,10,"Animation, Adventure, Comedy"
21,8/6/2017,Movies,Atomic Blonde,6.7,79,65,"Action, Thriller"
22,8/9/2017,Movies,The Dark Tower,5.6,15,15,"Action, Adventure, Fantasy"
23,8/13/2017,Movies,Annabelle Creation,6.5,70,60,"Horror, Mystery, Thriller"
24,8/20/2017,Movies,Hitman's Bodyguard,6.9,43,65,"Action, Comedy, Crime"
25,8/26/2017,Movies,Birth of the Dragon,5.7,25,5,"Action, Biography, Drama"
26,8/29/2017,Movies,Death Note Netflix,4.5,36,25,"Crime, Drama, Fantasy"
27,9/10/2017,Movies,IT,7.3,85,80,"Fantasy, Horror"
28,9/16/2017,Video Games,Destiny 2,,,70,"Comedy, Drama, Fantasy"
29,9/19/2017,Movies,Mother!,6.6,68,30,"Drama, Horror, Mystery"
